Person,Chapters,Subject,birth_year,death_year,birth_place,nationality,primary_field,bio_one_sentence,nobel_prize_year,nobel_prize_category
Dennis Zaritsky,37,Coauthored Bullet Cluster paper,1964,living,unknown,American,Astrophysics / Extragalactic Astronomy,American astronomer who co-authored the 2006 study on the Bullet Cluster providing direct empirical evidence for dark matter.,,
Diophantus,08,Early number theorist studying integer solutions | Early number theory,c. 200,c. 284,"Alexandria, Egypt (Roman Empire)",Greek / Hellenistic,Mathematics (Number Theory),Hellenistic mathematician who authored \emph{Arithmetica} and pioneered the study of indeterminate equations known as Diophantine equations.,,
Dominique-François Arago,13,Experimentally confirmed Poisson's spot; validated wave theory of light,1786,1853,"Estagel, France",French,Physics and Astronomy,French physicist and astronomer who validated the wave theory of light by experimentally demonstrating the existence of the ``Arago spot.'',,
Don Page,34,Estimated Boltzmann Brain formation timescales | Lifetime of de Sitter space | Analyzed lifetime of de Sitter universe,1948,living,"Bethel, Alaska, USA",American-Canadian,Theoretical Physics / Cosmology,"American theoretical physicist who formulated the ``Page curve,'' a calculation central to the black hole information paradox.",,
Don Ringe,05,Expert on Proto-Germanic and Indo-European reconstruction,1954,living,unknown,American,Historical Linguistics,American linguist who specializes in Proto-Germanic reconstruction and applies computational cladistics to the study of language phylogeny.,,
Donald D. Clayton,10,Author of classic text on stellar evolution and nucleosynthesis,1935,2024,"Sioux City, Iowa, USA",American,Astrophysics and Cosmochemistry,American theoretical astrophysicist who authored \emph{Principles of Stellar Evolution and Nucleosynthesis} and predicted presolar grains in meteorites.,,
Donald Knuth,17,Arrow notation,1938,living,"Milwaukee, Wisconsin, USA",American,Computer Science / Mathematics,American computer scientist and mathematician who authored \emph{The Art of Computer Programming} and created the \TeX{} typesetting system.,,
Donald Saari,09,Developed geometric analysis of voting paradoxes | Geometry of voting,1940,living,"Iron River, Wisconsin, USA",American,Mathematics and Economics,American mathematician and economist who utilizes dynamical systems to analyze voting paradoxes and the Newtonian N-body problem.,,
Douglas Adams,14,Quote on Time,1952,2001,"Cambridge, England",British,Literature and Radio,English author and satirist who created the multimedia science fiction franchise \emph{The Hitchhiker's Guide to the Galaxy}.,,
Douglas Clowe,37,Led Bullet Cluster lensing analysis,unknown,living,unknown,American,Astrophysics,American astrophysicist who provided direct empirical evidence for dark matter via the 2006 Bullet Cluster study.,,
E. A. Hammel,30,Coauthored Berkeley admissions study,1930,2022,"New York City, USA",American,Anthropology and Demography,American anthropologist and demographer who founded Berkeley's Department of Demography and co-authored the seminal \emph{Science} paper on Simpson's Paradox.,,
E. Newton Harvey,25,Wrote classic monograph on animal light | Bioluminescence research | Pioneered bioluminescence biochemistry,1887,1959,"Philadelphia, Pennsylvania, USA",American,Physiology / Bioluminescence,American physiologist who analyzed the biochemistry of bioluminescence and invented the centrifuge microscope to measure cellular viscosity.,,
Eddard Stark,28,Quote (Fictional character from Game of Thrones),N/A (Fictional),N/A (Fictional),Winterfell (Fictional setting),Westerosi (Fictional),FICTIONAL CHARACTER (Literary & Television Character),Lord of Winterfell from George R.R. Martin's \emph{A Song of Ice and Fire} whose unwavering honor and sense of duty lead to his tragic downfall in the political machinations of Westeros.,,
Eduardo Zeiger,35,Coauthor of Plant Physiology textbook,unknown,living,Argentina,Argentine-American,Plant Physiology,American plant physiologist who co-authored the textbook \emph{Plant Physiology} and established the role of blue light in stomatal regulation.,,
Edward H. Simpson,30,Formally stated Simpson’s paradox conditions | Simpson's Paradox | Described Simpson's paradox,1922,2019,"Northern Ireland, UK",British,Statistics and Civil Service,British statistician and civil servant who described Simpson's paradox in the 1951 paper ``The Interpretation of Interaction in Contingency Tables.'',,
Edward Kasner,17,Googol and Googolplex,1878,1955,"New York City, USA",American,Mathematics,American mathematician who derived the Kasner metric and popularized the term ``googol'' in \emph{Mathematics and the Imagination}.,,
Edward Lorenz,48,Discovered deterministic chaos in weather models | Chaos theory / Butterfly effect | Discovered chaotic attractors,1917,2008,"West Hartford, Connecticut, USA",American,Mathematics / Meteorology,American mathematician and meteorologist who laid the foundations of chaos theory by discovering the ``butterfly effect'' in weather patterns.,,
Edward Purcell,28,Co-demonstrated negative-temperature nuclear spin systems | Nuclear spin population inversion | Demonstrated negative spin temperature,1912,1997,"Taylorville, Illinois, USA",American,Physics,American physicist who shared the 1952 Nobel Prize for independently discovering nuclear magnetic resonance in condensed matter.,1952,Physics
Edwin Hubble,27|02,Observed galactic recession | established cosmic expansion | Galactic recession observations | Galaxy classification,1889,1953,"Marshfield, Missouri, USA",American,Astronomy,American astronomer who proved that spiral nebulae are independent galaxies and provided evidence for the expanding universe.,,
Elad Barkan,12,Coauthor of GSM ciphertext-only cryptanalysis | Cryptanalysis of GSM,unknown,living,Israel,Israeli,Cryptography / Computer Science,"Israeli cryptographer who developed practical attacks against GSM encryption standards, proving mobile calls could be intercepted in real-time.",,
Elbridge Gerry,30,Namesake of gerrymandering | Gerrymandering origin,1744,1814,"Marblehead, Massachusetts",American,Politics and Government,American Founding Father and Vice President who enacted a redistricting bill that inspired the term ``gerrymander.'',,
Eli Biham,12,Coauthor of GSM ciphertext-only cryptanalysis | Cryptanalysis of GSM (A5/1),1960,living,"Kfar Vitkin, Israel",Israeli,Cryptography / Computer Science,"Israeli cryptographer who co-introduced differential cryptanalysis with Adi Shamir, enabling the first practical attack on the Data Encryption Standard.",,
Elisabeth Buck,25,Co-researched synchronous firefly flashes | Synchronous flashing,unknown,2002,United States,American,Biology / Entomology,"American biologist who verified the synchronous flashing of \emph{Pteroptyx} fireflies in Southeast Asia, refuting the optical illusion hypothesis.",,
Enrico Bombieri,08,Co-formulated Bombieri–Vinogradov theorem | Bombieri-Vinogradov theorem,1940,living,"Milan, Italy",Italian,Mathematics,"Italian mathematician who received the 1974 Fields Medal for contributions to analytic number theory, algebraic geometry, and analysis.",,
Eratosthenes,08,Introduced sieve method for finding primes | Sieve for primes,c. 276 BC,c. 194 BC,"Cyrene (modern-day Shahhat, Libya)",Greek (Hellenistic),"Mathematics, Geography, Astronomy",Greek polymath who calculated the Earth's circumference and devised the ``Sieve of Eratosthenes'' for identifying prime numbers.,,
Ercole Antonio Mattioli,44,Alternative candidate for masked prisoner,1640,1694,"Valenza, Italy",Italian,Diplomacy,Italian diplomat who betrayed Louis XIV and is a prominent candidate for the identity of the ``Man in the Iron Mask.'',,
Eric Hobsbawm,38,Historian of “invention of tradition”,1917,2012,"Alexandria, Egypt",British,History,British Marxist historian who authored a tetralogy documenting the ``long nineteenth century'' and ``short twentieth century.'',,
Eric Lander,40,Key leader in genome mapping and sequencing,1957,living,"New York City, New York, USA",American,Genetics and Genomics,American mathematician and geneticist who served as a principal leader of the Human Genome Project and founded the Broad Institute.,,
Erich Heilbronner,46,Developed Möbius–Hückel aromaticity ideas,1921,2006,"Munich, Germany",Swiss,Physical Organic Chemistry,"Swiss physical organic chemist who theoretically predicted M\""obius aromaticity for cyclic conjugated systems containing $4n$ $\pi$-electrons.",,
Erwin Schrödinger,36 | 15,Cited as source of two-sided card paradox variant | Formulated wave mechanics | Credited by Littlewood,1887,1961,"Vienna, Austria",Austrian,Theoretical Physics,"Austrian physicist who formulated the wave equation and devised the ``Schr\""odinger's cat'' thought experiment to illustrate quantum superposition.",1933,Physics
Euclid,08,Proved infinitude of primes | Infinitude of primes,c. 325 BCE,c. 265 BCE,"Unknown (Active in Alexandria, Egypt)",Greek (Hellenistic),Mathematics,"Greek mathematician who authored the \emph{Elements}, a treatise that systematized geometry through axioms and rigorous deduction.",,
Eugene J. Mele,11,Co-developed theory of quantum spin Hall effect | Predicted Quantum Spin Hall effect / 2D topological insulators,1950,living,"Philadelphia, Pennsylvania, USA",American,Theoretical Condensed Matter Physics,American physicist who theoretically predicted topological insulators and identified the quantum spin Hall effect in graphene with Charles Kane.,,
Eugene Wigner,24,Quote on math and physics,1902,1995,"Budapest, Austria-Hungary",Hungarian-American,Theoretical Physics,Hungarian-American physicist who received the Nobel Prize for research concerning the structure of the atomic nucleus and elementary particles.,1963,Physics
Eugenio Beltrami,14,Studied non-Euclidean geometry relevant to curved spaces | Topology/Geometry,1835,1900,"Cremona, Italy",Italian,Mathematics,Italian mathematician who proved the logical consistency of non-Euclidean geometry by modeling it on the pseudosphere.,,
Eustache Dauger,44,Prisoner widely believed to be man behind the mask | Likely identity of the prisoner | The likely historical Man in the Iron Mask,c. 1637,1703,France,French,State Prisoner / Valet,French valet who is identified by historians as the candidate for the prisoner known as the ``Man in the Iron Mask.'',,
F. Duncan M. Haldane,11,Topological properties of quantum spin chains | 2016 Nobel Prize for topological phases,1951,living,"London, England",British-American,Theoretical Condensed Matter Physics,"British-born physicist who showed that one-dimensional quantum spin chains can exhibit topological properties, sharing the 2016 Nobel Prize.",2016,Physics
Felix Hausdorff,03,Early paradoxical decompositions of the sphere | Presented sphere decomposition paradox (1914),1868,1942,"Breslau, Prussia (now Wrocław, Poland)",German,Mathematics (Topology and Set Theory),"German mathematician who founded modern topology and set theory by defining topological spaces in \emph{Grundz\""uge der Mengenlehre}.",,
Felix Klein,14,Unified geometry via transformation groups | Klein bottle,1849,1925,"Düsseldorf, Prussia (now Germany)",German,Mathematics,"German mathematician who formulated the Erlangen Program and transformed the University of G\""ottingen into a leading mathematical center.",,
Ferdinand Foch,38,French general during early WWI,1851,1929,"Tarbes, France",French,Military Leadership,French general who served as Supreme Allied Commander and directed the offensive that forced German capitulation.,,
Francis Collins,40,Led Human Genome Project public consortium | Human Genome Project | Led Human Genome Project,1950,living,"Staunton, Virginia, USA",American,Genetics,American physician-geneticist who oversaw the successful sequencing of the human genome and directed the National Institutes of Health.,,
Francis Crick,49,Proposed search for neural correlates of consciousness,1916,2004,"Northampton, United Kingdom",British,Molecular Biology / Neuroscience,British molecular biologist who co-discovered the double-helix structure of DNA in 1953 and shared the 1962 Nobel Prize.,1962,Medicine
Frank Benford,07,Benford's Law,1883,1948,"Johnstown, Pennsylvania, USA",American,Physics and Electrical Engineering,American physicist and engineer who rediscovered and generalized the statistical observation of leading digits in \emph{The Law of Anomalous Numbers}.,,
Frank De Luccia,16,Coauthor on gravitational effects in vacuum decay | False vacuum decay rate,unknown,unknown,unknown,American,Theoretical Physics,American theoretical physicist who co-formulated the Coleman-De Luccia instanton to describe false vacuum decay within a gravitational framework.,,
Frank P. Bowden,42,Studied frictional heating as cause of ice slipperiness | Frictional heating of ice | Studied friction on ice,1903,1968,"Hobart, Tasmania, Australia",Australian,Physics (Tribology),Australian physicist who demonstrated that the low friction of ice is caused by a water layer produced by frictional heating.,,
Frank Richards,38,Account of Christmas Truce | Wrote memoir describing Christmas Truce,1883,1961,"Blaina, Monmouthshire, Wales",British,Soldier and Memoirist,"British soldier and author who wrote \emph{Old Soldiers Never Die}, a memoir documenting the 1914 Christmas Truce.",,
Franz Bopp,05,Pioneer of the comparative method in historical linguistics | Developed comparative method in linguistics,1791,1867,"Mainz, Electorate of Mainz (now Germany)",German,Historical Linguistics / Indology,German linguist who founded comparative grammar and historical linguistics by demonstrating the genetic relationship between Sanskrit and classical European languages.,,
Fred Hoyle,43,"Coined “Big Bang” and advocated steady-state cosmology | Steady State theory / Coined ""Big Bang"" | Proponent of Steady State theory",1915,2001,"Bingley, Yorkshire, England",British,Astronomy and Cosmology,British astronomer who developed the theory of stellar nucleosynthesis and coined the term ``Big Bang'' for the rival cosmology.,,
Frederick Sanger,40,Invented chain-termination DNA sequencing | Chain-termination sequencing | Invented chain-termination sequencing,1918,2013,"Rendcomb, United Kingdom",British,Biochemistry,British biochemist who received two Nobel Prizes for determining the structure of insulin and developing methods for DNA sequencing.,1958,Chemistry
Freeman Dyson,24,Co-proved stability of matter with Lenard; theorized Dyson spheres,1923,2020,"Crowthorne, England",British-American,Theoretical Physics,British-American theoretical physicist who unified disparate quantum electrodynamics formulations and theorized the megastructure known as the ``Dyson sphere.'',,
Fritz Houtermans,10,Early theoretical work on fusion in stars | Stellar fusion theory,1903,1966,"Danzig (now Gdańsk, Poland)",German,Nuclear Physics and Astrophysics,German physicist who provided the first theoretical explanation of stellar nucleosynthesis with Robert Atkinson in 1929.,,
Fritz Zwicky,31 | 37,Inferred dark matter from Coma Cluster dynamics | Virial theorem / Dark matter | Dark matter in Coma Cluster | Applied virial theorem to galaxy clusters | Early dark matter terminology and cluster work,1898,1974,"Varna, Bulgaria",Swiss / American,Astrophysics,Swiss-American astrophysicist who inferred the existence of dark matter and coined the term ``supernova'' with Walter Baade.,,
G. H. Hardy,08,Pioneered analytic number theory of primes | Analytic number theory,1877,1947,"Cranleigh, England",British,Mathematics,"English mathematician recognized for his work in number theory, mentoring Srinivasa Ramanujan, and authoring \emph{A Mathematician's Apology}.",,
G. Udny Yule,30,Documented early cases of trend reversal in grouped data | Yule-Simpson effect | Early work on statistical paradoxes,1871,1951,"Morham, Scotland",British,Statistics,British statistician who described the Yule-Simpson effect and authored the textbook \emph{An Introduction to the Theory of Statistics}.,,
G.W.F. Hegel,50,Developed dialectical account of self-consciousness,1770,1831,"Stuttgart, Duchy of Württemberg (now Germany)",German,Philosophy,German philosopher who structured German Idealism by developing a dialectical framework in \emph{The Phenomenology of Spirit}.,,
Galileo Galilei,06 | 28,Weak equivalence principle | Thermoscope,1564,1642,"Pisa, Duchy of Florence (Italy)",Italian,"Astronomy, Physics, Mathematics",Italian astronomer and physicist who improved the telescope to provide empirical support for the Copernican heliocentric model.,,
Garry Kasparov,20,World chess champion defeated by Deep Blue | Defeated by Deep Blue,1963,living,"Baku, Azerbaijan SSR (Soviet Union)",Soviet / Russian / Croatian,Chess / Political Activism,Russian chess grandmaster who became the youngest undisputed World Chess Champion and played historic matches against Deep Blue.,,
Gavrilo Princip,,Assassin of Archduke Franz Ferdinand,1894,1918,"Obljaj, Bosnia (Austria-Hungary)",Bosnian Serb / Yugoslav Nationalist,Political Revolutionary,"Bosnian Serb revolutionary who assassinated Archduke Franz Ferdinand in Sarajevo in 1914, triggering the outbreak of World War I.",,
Gelon,17,Recipient of Sand Reckoner letter,c. 266 BCE,c. 216 BCE,"Syracuse, Sicily",Greek (Syracusan),Royalty (Co-regent),Syracusan co-regent and son of Hiero II who is the addressee of Archimedes' treatise \emph{The Sand Reckoner}.,,
Georg Cantor,17|03,Founder of set theory and infinite cardinalities | Work on infinite sets and cardinalities | Ordinals and Cardinals,1845,1918,"Saint Petersburg, Russia",German,Mathematics,German mathematician who founded set theory and introduced transfinite numbers to classify the sizes of infinite sets.,,
George David Birkhoff,,Birkhoff's theorem | Proved uniqueness of spherical vacuum solution,1884,1944,"Overisel, Michigan, USA",American,Mathematics,American mathematician who proved the Pointwise Ergodic Theorem and formulated the uniqueness theorem for the Schwarzschild metric.,,
George Efstathiou,02,Coauthor of GR textbook for physicists,1955,living,"London, United Kingdom",British,Cosmology and Astrophysics,British cosmologist who helped establish the standard model of Cold Dark Matter through pioneering computer simulations of cosmic structure.,,
George Gamow,10,Applied quantum tunneling to nuclear reactions in stars | Quantum tunneling in stars / Gamow factor,1904,1968,"Odessa, Russian Empire (now Ukraine)",Soviet-American,Theoretical Physics and Cosmology,Russian-American theoretical physicist who explained alpha decay via quantum tunneling and predicted cosmic microwave background radiation.,,
Georges Lemaître,43|02,Proposed expanding universe and primeval atom model | Proposed primeval atom and expanding universe | Expanding universe solutions,1894,1966,"Charleroi, Belgium",Belgian,Theoretical Physics and Cosmology,"Belgian priest and theoretical physicist who proposed the ``Hypothesis of the Primeval Atom,'' foundation of the Big Bang.",,
Gerald S. Manning,31,Re-examined physical basis of osmosis | Revisited Debye's model | Modern revisitor of mechanical osmosis,unknown,living,unknown,American,Physical Chemistry,American physical chemist who formulated the counterion condensation theory explaining the electrostatic behavior of polyelectrolytes like DNA.,,
Gerald Whitrow,24,Anthropic arguments for three-dimensional space | Anthropic reasons for 3 dimensions | Analyzed anthropic constraints on dimensionality,1912,2000,"Kimbolton, United Kingdom",British,"Mathematics, Cosmology, and History of Science","British mathematician who demonstrated that life requires three spatial dimensions, providing a physical basis for the anthropic principle.",,
Gerard Kuiper,27,Linked planetary atmospheres to observed colors | Planetary atmospheres | Discovered planetary atmospheres/moons,1905,1973,"Tuitjenhorn, Netherlands",Dutch-American,Planetary Science / Astronomy,Dutch-American astronomer who discovered the atmosphere of Saturn's moon Titan and hypothesized the existence of the Kuiper Belt.,,
Giulio Tononi,50,Formulated Integrated Information Theory,1960,living,"Trento, Italy",Italian,Neuroscience and Psychiatry,Italian neuroscientist and psychiatrist who formulated Integrated Information Theory to investigate the physical substrates of subjective experience.,,
Giuseppe Degrassi,16,Showed Higgs mass implies metastable electroweak vacuum | Higgs instability calculations,1959,living,"Trieste, Italy",Italian,Theoretical Physics,Italian theoretical physicist who demonstrated the metastability of the electroweak vacuum using Higgs and top quark masses.,,
Giuseppe Occhialini,19,Co-discovered pion | cosmic-ray pion studies | Discovery of pion,1907,1993,"Fossombrone, Italy",Italian,Particle Physics and Astrophysics,Italian physicist who confirmed the existence of the positron and co-discovered the pion decay in cosmic rays.,,
Giuseppe Vitali,03,Constructed the first non-measurable set | Introduced first example of non-measurable set,1875,1932,"Ravenna, Italy",Italian,Mathematics (Real Analysis),"Italian mathematician who constructed the Vitali set, proving the existence of non-measurable sets of real numbers.",,
Glen A. Rebka Jr.,06,Co-performed Pound–Rebka gravitational redshift experiment | Gravitational redshift experiment (Pound-Rebka),1931,2015,"Cincinnati, Ohio, USA",American,Experimental Physics,"American experimental physicist who co-conducted the Pound-Rebka experiment, confirming Einstein's gravitational redshift using the M\""ossbauer effect.",,
Gottfried Wilhelm Leibniz,24,Simplest hypotheses / Dimensionality | Proposed principle of sufficient reason for laws,1646,1716,"Leipzig, Holy Roman Empire (now Germany)",German,Mathematics and Philosophy,German polymath who developed differential and integral calculus independently of Isaac Newton and invented the binary number system.,,
Graham Farquhar,35,Developed biochemical model of CO2 assimilation,1947,living,"Hobart, Australia",Australian,Plant Physiology and Biophysics,Australian plant physiologist who developed the Farquhar-von Caemmerer-Berry model of photosynthesis and methods for breeding drought-resistant wheat.,,
Greg Egan,39,Proposed improved superpermutation upper bounds | Upper bound for superpermutations | Constructed upper bounds for superpermutations,1961,living,"Perth, Australia",Australian,Science Fiction Literature / Mathematics,Australian science fiction author and mathematician who wrote \emph{Permutation City} and devised improved upper bounds for superpermutations.,,
Hadrian,26,Roman emperor who outlawed ordination after Bar Kokhba revolt,76,138,"Italica, Hispania Baetica (or Rome)",Roman,Roman Emperor,"Roman Emperor who consolidated imperial borders, commissioned Hadrian's Wall, rebuilt the Pantheon, and suppressed the Bar Kokhba revolt.",,
Hagan Bayley,,Founded Oxford Nanopore Technologies,unknown,living,"Jersey, Channel Islands",British,Chemical Biology,British chemical biologist who established the scientific foundation for nanopore DNA sequencing and founded Oxford Nanopore Technologies.,,
Hans Bethe,10,Explained stellar fusion via pp-chain and CNO cycle | Proton-proton chain and CNO cycle,1906,2005,"Strasbourg, Germany (now France)",German-American,Theoretical Physics,"German-American theoretical physicist who formulated the theory of stellar energy production in 1939, winning the 1967 Nobel Prize.",1967,Physics
Hans Christian Ørsted,04,Discovered current-generated magnetic fields | Current deflects compass needle,1777,1851,"Rudkøbing, Denmark",Danish,Physics and Chemistry,"Danish physicist and chemist who discovered in 1820 that electric currents create magnetic fields, establishing the discipline of electromagnetism.",,
Hao Wang,29,Posed domino problem | studied Wang tiles | Wang tiles / Domino problem | Proposed Wang tiles | undecidability connection,1921,1995,"Jinan, Shandong, China",Chinese-American,"Logic, Mathematics, and Philosophy",Chinese-American logician and philosopher who introduced Wang tiles to investigate the decision problem for tiling the plane.,,
Harald Cramér,08,Conjecture on prime gaps,1893,1985,"Stockholm, Sweden",Swedish,Mathematics and Statistics,Swedish mathematician and statistician who established the Cram\'er-Rao bound and formalized statistical inference in \emph{Mathematical Methods of Statistics}.,,
Harry Furstenberg,08,Topological proof of infinitude of primes,1935,living,"Berlin, Germany",American-Israeli,Mathematics,American-Israeli mathematician who established the interaction between dynamics and number theory and proved Szemer\'edi's theorem using ergodic theory.,,
Hartland Snyder,23,Coauthored early work on stellar collapse | Gravitational collapse | Coauthored seminal collapse paper with Oppenheimer,1913,1962,"Salt Lake City, Utah, USA",American,Theoretical Physics,American theoretical physicist who collaborated with J. Robert Oppenheimer to mathematically predict the implosion of stars into black holes.,,
Harvey Friedman,17,Introduced TREE sequence and large-number principles | TREE sequence / Kruskal's theorem,1948,living,"Chicago, Illinois, USA",American,Mathematical Logic / Foundations of Mathematics,American mathematician who initiated Reverse Mathematics and demonstrated ``concrete incompleteness'' by finding natural statements independent of Peano arithmetic.,,
He Jiankui,49,CRISPR babies scandal | Performed controversial CRISPR gene editing,1984,living,"Xinhua County, Hunan, China",Chinese,Biophysics / Genomics,Chinese biophysicist who created the world's first gene-edited humans using CRISPR-Cas9 technology to confer resistance to HIV.,,
Hendrik Casimir,47,Casimir effect | Casimir effect (vacuum force),1909,2000,"The Hague, Netherlands",Dutch,Theoretical Physics,"Dutch physicist who predicted the Casimir effect in 1948, an attractive force between uncharged parallel conducting plates.",,
Henri Dutrochet,31,"Introduced terms endosmosis and exosmosis | Termed ""osmosis"" | Coined terms endosmosis/exosmosis",1776,1847,"Néons-sur-Creuse, France",French,Physiology and Botany,French physician and botanist who discovered the phenomena of endosmosis and exosmosis and anticipated the unified cell theory.,,
Henri Poincaré,07 | 48 | 33 | 14,Founded algebraic topology for global spacetime structure | Revealed sensitivity and nonintegrability in three-body problem | Quote on mathematics and naming | Topology | Quote on Gaussian distribution,1854,1912,"Nancy, France",French,Mathematics and Theoretical Physics,"French mathematician and physicist who founded algebraic topology, formulated the Poincar\'e Conjecture, and laid the foundations of chaos theory.",,
Herbert Ives,25,Early photometry of luminous insects | Quantitative brightness of fireflies | Early quantitative photometry of fireflies,1882,1953,"Philadelphia, Pennsylvania, USA",American,Physics / Optical Engineering,American physicist who directed the first public demonstration of long-distance television and confirmed time dilation via the Ives-Stilwell experiment.,,
Hermann Bondi,43,Co-developed steady-state cosmological model | Steady State theory | Proponent of Steady State theory,1919,2005,"Vienna, Austria",British (Austrian-born),Mathematics and Cosmology,Austrian-British mathematician who co-developed the Steady State theory of the universe with Fred Hoyle and Thomas Gold in 1948.,,
Hermann Minkowski,14 | 47,Formulated spacetime geometry underpinning relativity | Formulated spacetime used in QFT | Spacetime geometry,1864,1909,"Aleksotas, Russian Empire (now Lithuania)",German,Mathematics,"German mathematician who developed the four-dimensional concept of ``Minkowski spacetime,'' providing the essential framework for general relativity.",,
Hermann von Helmholtz,10,Gravitational contraction of Sun,1821,1894,"Potsdam, Prussia (now Germany)",German,Physics and Physiology,German physician and physicist who formulated the law of conservation of energy and invented the ophthalmoscope.,,
Hermann Weyl,11,Linked Maxwell theory and geometry in four dimensions | Quote on topology vs algebra | Electromagnetism in 4D,1885,1955,"Elmshorn, Germany",German-American,Mathematics and Theoretical Physics,"German mathematician who applied group theory to quantum mechanics and introduced gauge invariance in \emph{Raum, Zeit, Materie}.",,
Hideki Yukawa,19,Predicted meson mediators of nuclear force | Prediction of meson,1907,1981,"Tokyo, Japan",Japanese,Theoretical Physics,"Japanese theoretical physicist who predicted the existence of the meson to explain nuclear forces, becoming the first Japanese Nobel laureate.",1949,Physics
Hiero II,17,Mentioned analogously in context of Archimedes (contextual) | Mentioned in Sand Reckoner context,c. 308 BC,215 BC,"Syracuse, Sicily",Greek (Syracusan),Monarchy / Military Leadership,"Greek King of Syracuse who allied with Rome, established the \emph{Lex Hieronica}, and commissioned works from Archimedes.",,
Hillel II,26,Nasi who published fixed calendar rules (~358 CE) | Published calendar rules (358 CE) | Fixed the Jewish calendar arithmetic,unknown,c. 365,"Tiberias, Palestine (Roman Empire)",Jewish (Roman subject),Rabbinic Leadership / Calendar Calculation,"Jewish Nasi of the Sanhedrin who established the fixed mathematical calendar around 359 CE, replacing observation-based methods.",,
Hillel Pratt,05,Neurophysiologist | Evoked potentials researcher,unknown,living,Israel,Israeli,Neuroscience / Biomedical Engineering,Israeli neurophysiologist who researches auditory and somatosensory evoked potentials and stimulus response in the auditory cortex.,,
Homer,38,Iliad (Ajax and Hector),c. 8th Century BCE,unknown,Ionia (traditional/disputed),Ancient Greek,Epic Poetry,"Ancient Greek poet who is traditionally credited with authoring the \emph{Iliad} and the \emph{Odyssey}, foundational works of Western literature.",,
Howard Zimmerman,46,Extended Möbius–Hückel approach to pericyclic reactions,1926,2012,"New York City, USA",American,Organic Chemistry / Photochemistry,"American chemist who developed the Zimmerman-Traxler transition state model and formulated the M\""obius-H\""uckel concept for pericyclic reactions.",,
Hugo Rossi,21,Quote on Nixon,1935,living,"Boston, Massachusetts, USA",American,Mathematics (Complex Analysis),American mathematician who specialized in complex analysis and co-authored the foundational text \emph{Analytic Functions of Several Complex Variables}.,,
Huw Price,30,Quote on correlation and causation,1953,living,"Neath, Wales",Australian (Welsh-born),Philosophy of Physics,"Australian philosopher of physics known for work on causation, the arrow of time, and pragmatism in science; Bertrand Russell Professor of Philosophy at Cambridge (2011--2020).",,
Ilan Ramon,26,Astronaut Shabbat observance,1954,2003,"Ramat Gan, Israel",Israeli,Astronaut / Fighter Pilot,Israeli Air Force Colonel and first astronaut who died when Space Shuttle \emph{Columbia} disintegrated during reentry in 2003.,,
Immanuel Kant,24 | 50,Articulated transcendental unity of apperception | Three dimensions and inverse square law | Philosophical arguments on space dimensionality,1724,1804,"Königsberg, Kingdom of Prussia (now Kaliningrad, Russia)",Prussian,Philosophy,"German philosopher who synthesized rationalism and empiricism in his 1781 work, the \emph{Critique of Pure Reason}.",,
Isaac Newton,27 | 06 | 13,Formulated classical theory of gravity in Principia | Proponent of corpuscular theory of light in France | Principia / Force of gravity | Corpuscular theory of light | Prism experiments,1643,1727,"Woolsthorpe-by-Colsterworth, England",English,Physics and Mathematics,English mathematician and physicist who formulated the laws of motion and universal gravitation in \emph{Philosophi\ae{} Naturalis Principia Mathematica}.,,
Isidor Rabi,19,"Commented on muon discovery (“Who ordered that?”) | Quote (""Who ordered that?"")",1898,1988,"Rymanów, Galicia (Austria-Hungary)",American,Physics,American physicist who received the Nobel Prize for developing the resonance method for recording magnetic properties of atomic nuclei.,1944,Physics
Israel Gelfand,07,Leading digits problem formulation,1913,2009,"Okny, Kherson Governorate, Russian Empire (now Ukraine)",Soviet / American,Mathematics,"Soviet mathematician who made fundamental contributions to functional analysis, representation theory, and the theory of generalized functions.",,
Itai Yanai,40,Mentored author in computational biology and genome assembly,1975,living,"Israel",Israeli-American,Computational Biology and Genomics,"Israeli-American computational biologist and one of the pioneers of single-cell transcriptomics (CEL-Seq), co-author of \textit{The Society of Genes}, and founding director of the Institute for Computational Medicine at NYU.",,
Itzhak Fried,50,Single neuron recording of will | Single-neuron studies of volition,1948,living,"Tel Aviv, Israel",Israeli-American,Neurosurgery and Neuroscience,Israeli-American neurosurgeon who identified ``concept cells'' responding to specific individuals or objects using intracranial depth electrodes.,,
J. Michael Kosterlitz,11,Kosterlitz-Thouless topological phase transition | 2016 Nobel Prize for topological phases,1943,living,"Aberdeen, Scotland",British-American,Theoretical Condensed Matter Physics,"British-American physicist who co-discovered the Kosterlitz-Thouless topological phase transition in two-dimensional systems, sharing the 2016 Nobel Prize.",2016,Physics
J. Robert Oppenheimer,23,Co-analyzed gravitational collapse to black holes | Gravitational collapse | Pioneered theory of gravitational collapse,1904,1967,"New York City, United States",American,Theoretical Physics,"American theoretical physicist who led the Manhattan Project to develop the first nuclear weapons, becoming the ``father of the atomic bomb.''",,
J. W. O’Connell,30,Coauthored Berkeley admissions study,unknown,unknown,unknown,American,Sociology,American researcher who co-authored the 1975 \emph{Science} article providing a definitive real-world demonstration of Simpson's Paradox.,,
